DateTimeStamp,0-100-100RAH,0-100-100RFSpd,0-100-100SFSpd,0-50-5W_C_DuctPressure,2-100-100CHWValve,2-100-100EAD,2-100-100OAD,2-100-100RAD,2-10100-0HWCValve,CurrentDASP,DACFMUnfiltered,DAFlowCFMFiltered,DARSCalcdSP,DischAirFlowFPM,EF-6Status,GeneralEFCFMTotal,MAT,OAFlowCFM,OAFlowFPM,RACFMUnfiltered,RAFlowCFMFiltered,RAFlowFPM,RAT,RTU-4DAT,TE-1Status,TE-2Status,TE-3Status,OAD,oamindamper,chwvalve,hwvalve,ductpressstp,occ
10/11/2017 10:20:00 AM,0.6907936,0,0,0.009846154,20,0,20,0,20,68,66.92253,2509.017,68,16.96176,0,700,97.8,16.5046,2.907059,7.860188E-11,6.503624E-11,1.670451E-11,72.8,73.2,1,1,0,0,0,0,0,1.2500,0
10/11/2017 10:30:00 AM,0.7908181,0,0,0.009846154,20,0,20,0,20,68,49.3175,2509.017,68,12.77747,0,700,100.3,25.95617,3.32818,0,0,0,72.5,73.2,1,1,0,0,0,0,0,1.2500,0
10/11/2017 10:40:00 AM,0.7908181,0,0,0.009846154,20,0,20,0,20,68,61.74422,2509.017,68,16.36413,0,700,98.8,80.64366,14.66248,3.317462E-06,3.428045E-06,7.75482E-07,72.6,73.2,1,1,0,0,0,0,0,1.2500,0
10/11/2017 10:50:00 AM,0.7908181,0,0,0.009846154,20,0,20,0,20,68,52.16476,2509.017,68,13.44929,0,700,94.7,51.16605,9.012202,30.37873,30.19341,8.370538,73.1,73.2,1,1,0,0,0,0,0,1.2500,0
10/11/2017 11:00:00 AM,0.4938706,0,0,0.009846154,20,0,20,0,20,68,39.08662,2509.017,68,10.04671,0,700,90.5,0.4851666,0.08821211,14.22301,14.18019,3.848204,73.4,73.1,1,1,0,0,0,0,0,1.2500,0
10/11/2017 11:10:00 AM,0.1969231,0,0,0.009846154,20,0,20,0,20,68,58.44817,2509.017,68,15.05719,0,700,87.6,51.67338,9.716945,14.73065,13.00981,3.343927,73.6,73.1,1,1,0,0,0,0,0,1.2500,0
10/11/2017 11:20:00 AM,0.1969231,0,0,0.009846154,20,0,20,0,20,68,56.411,2509.017,68,14.54855,0,700,85.2,42.24005,8.055393,7.494123,7.616758,2.053184,73.7,73.2,1,1,0,0,0,0,0,1.2500,0
10/11/2017 11:30:00 AM,0.1969231,0,0,0.009846154,20,0,20,0,20,68,59.46743,2509.017,68,15.16457,0,700,82.8,6.915507E-07,1.218072E-07,0.2258787,0.233408,0.05995069,73.8,73.2,1,1,0,0,0,0,0,1.2500,0
10/11/2017 11:40:00 AM,0.1969231,0,0,0.009846154,20,0,20,0,20,68,75.24067,2509.017,68,19.11233,0,700,81.1,69.49973,12.54912,0.1959408,0.2024722,0.04728014,73.8,73.1,1,1,0,0,0,0,0,1.2500,0
10/11/2017 11:50:00 AM,0.1969231,0,0,0.009846154,20,0,20,0,20,68,48.97668,2509.017,68,13.98974,0,700,79.7,1.779507,0.3235467,22.97033,22.95682,6.24798,73.8,73.1,1,1,0,0,0,0,0,1.2500,0
10/11/2017 12:00:00 PM,0.1969231,0,0,0.009846154,20,0,20,0,20,68,57.47266,2509.017,68,14.81363,0,700,78.3,44.14649,8.026634,10.43879,10.43125,2.921974,73.9,73.1,1,1,0,0,0,0,0,1.2500,0
10/11/2017 12:10:00 PM,0.1969231,0,0,0.009846154,20,0,20,0,20,68,40.16743,2509.017,68,10.27811,0,700,77.1,3.31048,0.6172839,4.467545,4.37712,1.294133,73.9,73.1,1,1,0,0,0,0,0,1.2500,0
10/11/2017 12:20:00 PM,0.1969231,0,0,0.009846154,20,0,20,0,20,68,55.23766,2509.017,68,14.2556,0,700,76.1,27.14444,4.935352,1.892429,1.8944,0.5022714,73.9,73.1,1,1,0,0,0,0,0,1.2500,0
10/11/2017 12:30:00 PM,0.1969231,0,0,0.009846154,20,0,20,0,20,68,54.64524,2509.017,68,13.9514,0,700,75.1,2.173096E-08,3.951083E-09,0.1047348,0.108226,0.02779776,74,73.2,1,1,0,0,0,0,0,1.2500,0
10/11/2017 12:40:00 PM,0.1969231,0,0,0.009846154,20,0,20,0,20,68,57.24862,2509.017,68,14.75769,0,700,74.3,8.090628E-08,1.425054E-08,0.9992154,1.032523,0.226275,73.9,73.2,1,1,0,0,0,0,0,1.2500,0
10/11/2017 12:50:00 PM,0.1969231,0,0,0.009846154,20,0,20,0,20,68,78.17699,2509.017,68,19.99435,0,700,73.5,6.096094E-09,1.108381E-09,1.488977E-07,1.443949E-07,3.828411E-08,73.9,73.1,1,1,0,0,0,0,0,1.2500,0
10/11/2017 1:00:00 PM,0.1969231,0,0,0.009846154,20,0,20,0,20,68,51.41763,2509.017,68,13.04243,0,700,72.7,1.359963E-20,2.395389E-21,0.19152,0.1487168,0.03942999,74,73.2,1,1,0,0,0,0,0,1.2500,0
10/11/2017 1:10:00 PM,0.1969231,0,0,0.009846154,20,0,20,0,20,68,49.38115,2509.017,68,12.63707,0,700,71.9,0.6579297,0.1158853,0.3531284,0.3648994,0.09372415,73.9,73.1,1,1,0,0,0,0,0,1.2500,0
10/11/2017 1:20:00 PM,0.1969231,0,0,0.009846154,20,0,20,0,20,68,46.64865,2509.017,68,11.95482,0,700,71.3,0.151646,0.02671037,8.127469E-06,7.635385E-06,1.961143E-06,74,73.1,1,1,0,0,0,0,0,1.2500,0
10/11/2017 1:30:00 PM,0.1969231,0,0,0.009846154,20,0,20,0,20,68,53.51438,2509.017,68,12.54215,0,700,70.8,0.008763858,0.001543634,7.04334,7.278117,1.869379,74,73.1,1,1,0,0,0,0,0,1.2500,0
10/11/2017 1:40:00 PM,0.1969231,0,0,0.009846154,20,0,20,0,20,68,38.18831,2509.017,68,9.842581,0,700,70.1,5.868479,1.033653,0.8724785,0.9015612,0.1740119,74,73.1,1,1,0,0,0,0,0,1.2500,0
10/11/2017 1:50:00 PM,0.1969231,0,0,0.009846154,20,0,20,0,20,68,43.61522,2509.017,68,11.07468,0,700,69.7,2.193168E-36,3.742248E-37,0.109352,0.1129971,0.02723762,73.9,73.1,1,1,0,0,0,0,0,1.2500,0
10/11/2017 2:00:00 PM,0.1969231,0,0,0.009846154,20,0,20,0,20,68,73.97009,2509.017,68,19.08408,0,700,69.2,0.048675,0.00885,23.40947,23.39816,6.364532,74,73.1,1,1,0,0,0,0,0,1.2500,0
10/11/2017 2:10:00 PM,0.1969231,0,0,0.009846154,20,0,20,0,20,68,51.69948,2509.017,68,13.58872,0,700,68.6,24.32402,5.639062,5.747835,5.431564,1.676943,74,73.1,1,1,0,0,0,0,0,1.2500,0
10/11/2017 2:20:00 PM,0.1969231,0,0,0.009846154,20,0,20,0,20,68,64.96455,2509.017,68,16.83559,0,700,68.1,0.0674836,0.01188632,0.3248049,0.3356318,0.08620678,73.9,73.1,1,1,0,0,0,0,0,1.2500,0
10/11/2017 2:40:00 PM,0.1969231,0,0,0.009846154,20,0,20,0,20,68,53.64744,2509.017,68,14.12753,0,700,84.2,72.68462,13.21539,15.18584,15.10272,4.103748,74,73.1,1,1,0,0,0,0,0,1.2500,0
10/11/2017 2:50:00 PM,0.1969231,0,0,0.009846154,20,0,20,0,20,68,61.42458,2509.017,68,15.77056,0,700,85,1.115015,0.1963946,0.07541126,0.07084542,0.0181966,73.9,73.1,1,1,0,0,0,0,0,1.2500,0
10/11/2017 3:00:00 PM,0.1969231,0,0,0.009846154,20,0,20,0,20,68,63.15465,2509.017,68,16.23229,0,700,88,0.8330009,5.218644E-05,6.068137,4.86395,1.249303,74,73,1,1,0,0,0,0,0,1.2500,0
10/11/2017 3:10:00 PM,0.1969231,0,0,0.01969231,20,0,20,0,20,68,67.30203,2509.017,68,17.34588,0,700,89.4,81.24851,14.3249,0.005780911,0.005973609,0.001534317,73.4,72.9,1,1,0,0,0,0,0,1.2500,0
10/11/2017 3:20:00 PM,0.1969231,0,0,0.01969231,20,0,20,0,20,68,68.33761,2509.017,68,17.20686,0,700,89.4,7.686482E-06,1.230869E-06,0,0,0,72.8,72.7,1,1,0,0,0,0,0,1.2500,0
10/11/2017 3:30:00 PM,0.1969231,0,0,0.01969231,20,0,20,0,20,68,52.03604,2509.017,68,13.45622,0,700,90.3,6.393787,1.126178,8.605519E-21,8.892372E-21,2.283999E-21,72.7,72.6,1,1,0,0,0,0,0,1.2500,0
10/11/2017 3:40:00 PM,0.1969231,0,0,0.01969231,20,0,20,0,20,68,38.20411,2509.017,68,9.846411,0,700,92.6,0.1044378,0.0189887,0,0,0,72,72.5,1,1,0,0,0,0,0,1.2500,0
10/11/2017 3:50:00 PM,0.4938706,0,0,0.01969231,20,0,20,0,20,68,68.73243,2509.017,68,17.62494,0,700,92.2,2.962914,0.5387117,0,0,0,72.1,72.6,1,1,0,0,0,0,0,1.2500,0
10/11/2017 4:00:00 PM,0.4938706,0,0,0.01969231,20,0,20,0,20,68,41.23804,2509.017,68,10.60392,0,700,91.3,2.808674E-09,5.271412E-10,0,0,0,71.9,72.6,1,1,0,0,0,0,0,1.2500,0
10/11/2017 4:10:00 PM,0.6907936,0,0,0.01969231,20,0,20,0,20,68,52.64253,2509.017,68,13.64639,0,700,94,0.6582248,0.1159373,0,0,0,71.7,72.5,1,1,0,0,0,0,0,1.2500,0
10/11/2017 4:20:00 PM,0.6907936,0,0,0.01969231,20,0,20,0,20,68,63.48259,2509.017,68,16.46558,0,700,93.4,3.126112,0.5683839,0,0,0,72,72.5,1,1,0,0,0,0,0,1.2500,0
10/11/2017 4:30:00 PM,0.6907936,0,0,0.01969231,20,0,20,0,20,68,44.64551,2509.017,68,11.40442,0,700,92.6,3.18823E-06,5.615632E-07,0,0,0,71.8,72.5,1,1,0,0,0,0,0,1.2500,0
10/11/2017 4:40:00 PM,0.7908181,0,0,0.009846154,20,0,20,0,20,68,66.08117,2509.017,68,16.96298,0,700,92.4,55.10938,10.244,0,0,0,71.9,72.5,1,1,0,0,0,0,0,1.2500,0
10/11/2017 4:50:00 PM,0.7908181,0,0,0.01969231,20,0,20,0,20,68,66.55404,2509.017,68,17.23245,0,700,94.8,2.317545,0.408204,0,0,0,71.7,72.5,1,1,0,0,0,0,0,1.2500,0
10/11/2017 5:00:00 PM,0.8908425,0,0,0.01969231,20,0,20,0,20,68,38.54829,2509.017,68,9.932345,0,700,93.9,1.746754E-09,2.386572E-10,0,0,0,71.8,72.5,1,1,0,0,0,0,0,1.2500,0
10/11/2017 5:10:00 PM,0.8908425,0,0,0.009846154,20,0,20,0,20,68,51.20731,2509.017,68,13.24931,0,700,92.6,27.49421,4.876918,0,0,0,72,72.5,1,1,0,0,0,0,0,1.2500,0
10/11/2017 5:20:00 PM,0.7908181,0,0,0.01969231,20,0,20,0,20,68,53.36175,2509.017,68,13.74815,0,700,94.1,36.74622,5.522304,9.638507E-14,9.648548E-14,2.558165E-14,72,72.5,1,1,0,0,0,0,0,1.2500,0
10/11/2017 5:30:00 PM,0.7908181,0,0,0.009846154,20,0,20,0,20,68,55.6934,2509.017,68,14.38432,0,700,94.3,9.390851,1.602381,0,0,0,72.1,72.5,1,1,0,0,0,0,0,1.2500,0
10/11/2017 5:40:00 PM,0.7908181,0,0,0.01969231,20,0,20,0,20,68,53.89809,2509.017,68,14.00529,0,700,93.3,3.303196E-09,5.818129E-10,0,0,0,71.9,72.4,1,1,0,0,0,0,0,1.2500,0
10/11/2017 5:50:00 PM,0.9877412,0,0,0.01969231,20,0,20,0,20,68,72.43775,2509.017,68,19.27351,0,700,92.4,0.04669062,0.008489204,0,0,0,71.8,72.4,1,1,0,0,0,0,0,1.2500,0
