DateTimeStamp,AverageCoolingDemand,CH-1EnableDisable,CHWFLOW,CHWRTemp,CHWSTemp,CWRTemp,CWSTemp,DemandCallforCooling,EconModeOAEnableSP,EconModeOASP,OccupancyCommand,PCHWFlowSetpt,PCHWPMinSpeed,PCWP-1Speed,PCWP-2Speed,SCHWDPSetpt,SCHWPMinimumSpeed,SCHWRTemp,SCHWSTemp,SCWP-1Speed,SCWP-2Speed,SCWPDP,SummerModeSetpoint,DeltaT_CHW,DeltaT_CW,CP-202C2RadLoop.OATTEMP
12/8/2017 12:00:00 AM,7.282408,0,-0.2144089,57,53.4,57.5,49,0,40,45,1,145,20,0,0,15,20,55.8,49.5,0,0,2.12927,55,-3.6,-8.5,19.7
12/8/2017 12:10:00 AM,7.333213,0,-0.2144089,57,53.5,57.5,49.2,0,40,45,1,145,20,0,0,15,20,55.8,49.7,0,0,1.562256,55,-3.5,-8.3,19.7
12/8/2017 12:20:00 AM,7.118512,0,-0.2144089,56.9,53.6,57.6,49.2,0,40,45,1,145,20,0,0,15,20,55.8,49.9,0,0,0.2163028,55,-3.3,-8.4,19.7
12/8/2017 12:30:00 AM,6.96707,0,4.90403,56.9,53.6,57.4,49.3,0,40,45,1,145,20,0,0,15,20,55.9,50.1,0,0,3.090755,55,-3.3,-8.1,19.7
12/8/2017 12:40:00 AM,6.539235,0,-0.1518936,56.9,53.7,57.4,49.4,0,40,45,1,145,20,0,0,15,20,55.9,50.2,0,0,0.2163028,55,-3.2,-8,19.6
12/8/2017 12:50:00 AM,6.287868,0,-0.08937836,56.9,53.8,57.5,49.6,0,40,45,1,145,20,0,0,15,20,55.9,50.3,0,0,0.221304,55,-3.1,-7.9,19.5
12/8/2017 1:00:00 AM,5.835871,0,-0.08937836,56.8,53.8,57.4,49.6,0,40,45,1,145,20,0,0,15,20,56,50.4,0,0,2.021118,55,-3,-7.8,19.5
12/8/2017 1:10:00 AM,5.43094,0,-0.2144089,56.8,53.9,57.4,49.6,0,40,45,1,145,20,0,0,15,20,56,50.6,0,0,0.340083,55,-2.9,-7.8,19.7
12/8/2017 1:20:00 AM,5.100534,0,-0.0268631,56.8,53.9,57.4,49.7,0,40,45,1,145,20,0,0,15,20,56,50.8,0,0,0.3594628,55,-2.9,-7.7,19.6
12/8/2017 1:30:00 AM,4.846393,0,-0.0268631,56.8,54,57.4,49.7,0,40,45,1,145,20,0,0,15,20,56.1,50.8,0,0,0.2163028,55,-2.8,-7.7,19.6
